"","startTime","duration","app","endTime","date","category"
"100",2023-01-22 14:47:08,6.659,"rstudio",2023-01-22 14:47:15,2023-01-22,"studies"
"101",2023-01-22 14:46:49,17.749,"chrome",2023-01-22 14:47:07,2023-01-22,"studies"
"102",2023-01-22 14:46:47,1.1,"chrome",2023-01-22 14:46:49,2023-01-22,"studies"
"103",2023-01-22 14:46:29,16.586,"chrome",2023-01-22 14:46:46,2023-01-22,"studies"
"104",2023-01-22 14:46:23,5.574,"rstudio",2023-01-22 14:46:29,2023-01-22,"studies"
"105",2023-01-22 14:46:16,5.575,"rstudio",2023-01-22 14:46:22,2023-01-22,"studies"
"106",2023-01-22 14:46:15,0,"Messenger",2023-01-22 14:46:15,2023-01-22,"free time"
"107",2023-01-22 14:45:41,33.151,"rstudio",2023-01-22 14:46:15,2023-01-22,"studies"
"108",2023-01-22 14:44:52,47.404,"chrome",2023-01-22 14:45:40,2023-01-22,"studies"
"109",2023-01-22 14:44:51,0,"chrome",2023-01-22 14:44:51,2023-01-22,"studies"
"110",2023-01-22 14:44:18,32.2,"rstudio",2023-01-22 14:44:51,2023-01-22,"studies"
"111",2023-01-22 14:44:13,3.355,"chrome",2023-01-22 14:44:17,2023-01-22,"studies"
"112",2023-01-22 14:43:56,15.57,"chrome",2023-01-22 14:44:12,2023-01-22,"studies"
"113",2023-01-22 14:43:52,3.301,"chrome",2023-01-22 14:43:56,2023-01-22,"studies"
"114",2023-01-22 14:43:09,42.056,"rstudio",2023-01-22 14:43:52,2023-01-22,"studies"
"115",2023-01-22 14:42:57,11.039,"rstudio",2023-01-22 14:43:09,2023-01-22,"studies"
"116",2023-01-22 14:42:08,47.702,"Discord",2023-01-22 14:42:56,2023-01-22,"other"
"117",2023-01-22 14:42:02,4.472,"Messenger",2023-01-22 14:42:07,2023-01-22,"free time"
"118",2023-01-22 14:42:01,0,"ScreenClippingHost",2023-01-22 14:42:01,2023-01-22,"other"
"119",2023-01-22 14:41:59,1.086,"ScreenClippingHost",2023-01-22 14:42:01,2023-01-22,"other"
"120",2023-01-22 14:41:52,5.603,"Messenger",2023-01-22 14:41:58,2023-01-22,"free time"
"121",2023-01-22 14:41:51,0,"ScreenClippingHost",2023-01-22 14:41:51,2023-01-22,"other"
"122",2023-01-22 14:41:49,1.119,"Messenger",2023-01-22 14:41:51,2023-01-22,"free time"
"123",2023-01-22 14:41:44,3.394,"ScreenClippingHost",2023-01-22 14:41:48,2023-01-22,"other"
"124",2023-01-22 14:41:38,5.563,"Discord",2023-01-22 14:41:44,2023-01-22,"other"
"125",2023-01-22 14:41:34,2.234,"ScreenClippingHost",2023-01-22 14:41:37,2023-01-22,"other"
"126",2023-01-22 14:41:31,2.267,"Discord",2023-01-22 14:41:34,2023-01-22,"other"
"127",2023-01-22 14:41:30,0,"SearchHost",2023-01-22 14:41:30,2023-01-22,"other"
"128",2023-01-22 14:41:24,4.535,"Discord",2023-01-22 14:41:29,2023-01-22,"other"
"129",2023-01-22 14:41:22,1.076,"ScreenClippingHost",2023-01-22 14:41:24,2023-01-22,"other"
"130",2023-01-22 14:41:16,4.53,"Discord",2023-01-22 14:41:21,2023-01-22,"other"
"131",2023-01-22 14:41:15,0,"Messenger",2023-01-22 14:41:15,2023-01-22,"free time"
"132",2023-01-22 14:41:12,2.257,"ScreenClippingHost",2023-01-22 14:41:15,2023-01-22,"other"
"133",2023-01-22 14:39:59,71.357,"Messenger",2023-01-22 14:41:11,2023-01-22,"free time"
