"","artistName","category","trackName","energy","startTime","energy_level","duration"
"97","Pierre Oslonn","wolne","Angels We Have Heard On High",0.13,2022-12-16 15:44:34,"slow",45
"98","Red Hot Chili Peppers","inne","I Could Die for You",0.734,2022-12-19 09:55:47,"fast",179
"99","Red Hot Chili Peppers","wolne","I Could Die for You",0.734,2022-12-19 09:55:47,"fast",23
"100","Rick Gallagher Project","inne","The Wassail Song",0.107,2022-12-16 15:27:54,"slow",125
"101","Sam Smith","studia","Have Yourself A Merry Little Christmas",0.178,2022-12-22 18:54:09,"slow",110
"102","Sia","inne","Snowflake",0.354,2022-12-18 12:34:57,"medium",242
"103","Simon Berggren","inne","A Child Is Born",0.014,2022-12-16 15:35:22,"slow",97
"104","Simon Berggren","inne","Prepare The Way, O Zion",0.0112,2022-12-16 15:23:33,"slow",59
"105","The Cassino","inne","Coming Down",0.462,2022-12-15 22:34:03,"medium",37
"106","The Cassino","studia","Coming Down",0.462,2022-12-15 22:34:03,"medium",73
"107","The Cassino","wolne","Coming Down",0.462,2022-12-15 22:34:03,"medium",109
"108","Three Good Reasons","inne","It's Beginning to Look a Lot Like Christmas",0.0213,2022-12-16 16:01:46,"slow",106
"109","Three Good Reasons","inne","Santa Baby",0.0343,2022-12-16 15:48:24,"slow",73
"110","Three Good Reasons","wolne","It's Beginning to Look a Lot Like Christmas",0.0213,2022-12-16 16:01:46,"slow",60
"111","Three Good Reasons","wolne","Santa Baby",0.0343,2022-12-16 15:48:24,"slow",90
"112","Twenty One Pilots","inne","Chlorine",0.674,2022-12-19 10:16:35,"fast",278
"113","Twenty One Pilots","wolne","Stressed Out",0.637,2022-12-19 10:06:37,"medium",202
"114","Us The Duo","inne","Winter Wonderland",0.316,2022-12-18 12:38:17,"slow",162
"115","Wendy Salisbury","inne","We Wish You a Merry Christmas",0.0457,2022-12-16 15:31:31,"slow",88
"116","Wide Eyed","inne","Christmas by Candlelight - Solo Piano Version",0.164,2022-12-16 15:58:43,"slow",139
"117","Wide Eyed","wolne","Christmas by Candlelight - Solo Piano Version",0.164,2022-12-16 15:58:43,"slow",35
