"","artistName","category","trackName","energy","startTime","energy_level","genre","duration"
"332","Maroon 5","studia","Moves Like Jagger - Studio Recording From ""The Voice"" Performance",0.758,2022-12-28 20:31:09,"fast","pop",1
"333","Maroon 5","wolne","Moves Like Jagger - Studio Recording From ""The Voice"" Performance",0.758,2022-12-28 20:31:09,"fast","pop",43
"334","Mata","studia","</3",0.558,2022-12-29 18:26:48,"medium","polish hip hop",131
"335","Męskie Granie Orkiestra 2021","studia","I Ciebie też, bardzo (feat. Daria Zawiałow, Dawid Podsiadło & Vito Bambino)",0.743,2022-12-28 11:28:30,"fast","polish alternative",213
"336","Michael Bublé","inne","Holly Jolly Christmas",0.465,2022-12-27 13:03:58,"medium","adult standards",97
"337","Michael Bublé","inne","Let It Snow! - 10th Anniversary",0.531,2022-12-27 13:30:20,"medium","adult standards",126
"338","Michael Bublé","studia","Holly Jolly Christmas",0.465,2022-12-27 13:03:58,"medium","adult standards",43
"339","Michael Bublé","studia","Let It Snow! - 10th Anniversary",0.531,2022-12-27 13:30:20,"medium","adult standards",27
"340","Milky Chance","studia","Stolen Dance",0.581,2022-12-28 20:14:46,"medium","german pop",264
"341","Miły ATZ","inne",":-)",0.801,2022-12-21 14:58:30,"fast","polish alternative rap",12
"342","Miły ATZ","studia",":-)",0.801,2022-12-21 14:58:30,"fast","polish alternative rap",167
"343","Miły ATZ","studia",":-)",0.801,2022-12-28 20:55:30,"fast","polish alternative rap",216
"344","Miły ATZ","studia",":-)",0.801,2022-12-29 16:04:30,"fast","polish alternative rap",213
"345","Miły ATZ","studia","7 Razy",0.609,2022-12-21 16:17:26,"medium","polish alternative rap",213
"346","Miły ATZ","studia","Lek",0.589,2022-12-21 15:16:26,"medium","polish alternative rap",150
"347","Miły ATZ","studia","Nowa Norma",0.721,2022-12-21 15:35:16,"fast","polish alternative rap",133
"348","Miły ATZ","studia","Płucko",0.569,2022-12-21 15:53:56,"medium","polish alternative rap",148
"349","Miły ATZ","studia","Z Pierwszej Ręki",0.606,2022-12-21 14:41:43,"medium","polish alternative rap",196
"350","Miły ATZ","wolne",":-)",0.801,2022-12-28 20:55:30,"fast","polish alternative rap",3
"351","Miły ATZ","wolne",":-)",0.801,2022-12-29 16:04:30,"fast","polish alternative rap",2
