"","startTime","duration","app","endTime","date","category"
"92",2022-12-22 00:13:22,0,"chrome",2022-12-22 00:13:22,2022-12-22,"studia"
"93",2022-12-22 00:13:01,19.379,"chrome",2022-12-22 00:13:20,2022-12-22,"studia"
"94",2022-12-22 00:12:46,14.77,"chrome",2022-12-22 00:13:00,2022-12-22,"studia"
"95",2022-12-22 00:12:45,0,"chrome",2022-12-22 00:12:45,2022-12-22,"studia"
"96",2022-12-22 00:12:33,10.684,"chrome",2022-12-22 00:12:43,2022-12-22,"studia"
"97",2022-12-22 00:12:16,16.068,"chrome",2022-12-22 00:12:32,2022-12-22,"studia"
"98",2022-12-22 00:12:13,2.124,"chrome",2022-12-22 00:12:15,2022-12-22,"studia"
"99",2022-12-22 00:12:11,0,"chrome",2022-12-22 00:12:11,2022-12-22,"studia"
"100",2022-12-22 00:12:10,0,"chrome",2022-12-22 00:12:10,2022-12-22,"studia"
"101",2022-12-22 00:11:54,14.973,"chrome",2022-12-22 00:12:08,2022-12-22,"studia"
"102",2022-12-22 00:11:33,20.459,"chrome",2022-12-22 00:11:53,2022-12-22,"studia"
"103",2022-12-22 00:11:32,0,"chrome",2022-12-22 00:11:32,2022-12-22,"studia"
"104",2022-12-22 00:11:02,29.016,"chrome",2022-12-22 00:11:31,2022-12-22,"studia"
"105",2022-12-22 00:11:01,0,"chrome",2022-12-22 00:11:01,2022-12-22,"studia"
"106",2022-12-22 00:10:40,19.23,"chrome",2022-12-22 00:10:59,2022-12-22,"studia"
"107",2022-12-22 00:10:36,3.225,"chrome",2022-12-22 00:10:39,2022-12-22,"studia"
"108",2022-12-22 00:10:35,0,"chrome",2022-12-22 00:10:35,2022-12-22,"studia"
"109",2022-12-22 00:09:50,43.641,"chrome",2022-12-22 00:10:33,2022-12-22,"studia"
"110",2022-12-22 00:09:19,29.981,"chrome",2022-12-22 00:09:48,2022-12-22,"studia"
"111",2022-12-22 00:09:17,1.037,"chrome",2022-12-22 00:09:18,2022-12-22,"studia"
"112",2022-12-22 00:09:15,1.086,"chrome",2022-12-22 00:09:16,2022-12-22,"studia"
"113",2022-12-22 00:09:13,1.047,"chrome",2022-12-22 00:09:14,2022-12-22,"studia"
"114",2022-12-22 00:09:12,0,"chrome",2022-12-22 00:09:12,2022-12-22,"studia"
"115",2022-12-22 00:09:06,5.253,"chrome",2022-12-22 00:09:11,2022-12-22,"studia"
"116",2022-12-22 00:09:03,1.051,"chrome",2022-12-22 00:09:04,2022-12-22,"studia"
"117",2022-12-22 00:09:00,2.127,"chrome",2022-12-22 00:09:02,2022-12-22,"studia"
"118",2022-12-22 00:08:02,57.511,"chrome",2022-12-22 00:08:59,2022-12-22,"studia"
"119",2022-12-22 00:08:01,0,"chrome",2022-12-22 00:08:01,2022-12-22,"studia"
"120",2022-12-22 00:08:00,0,"chrome",2022-12-22 00:08:00,2022-12-22,"studia"
"121",2022-12-22 00:07:58,0,"chrome",2022-12-22 00:07:58,2022-12-22,"studia"
"122",2022-12-22 00:07:54,3.246,"chrome",2022-12-22 00:07:57,2022-12-22,"studia"
"123",2022-12-22 00:07:52,1.055,"chrome",2022-12-22 00:07:53,2022-12-22,"studia"
"124",2022-12-22 00:07:08,42.915,"chrome",2022-12-22 00:07:50,2022-12-22,"studia"
"125",2022-12-22 00:07:00,7.317,"chrome",2022-12-22 00:07:07,2022-12-22,"studia"
"126",2022-12-22 00:06:59,0,"chrome",2022-12-22 00:06:59,2022-12-22,"studia"
"127",2022-12-22 00:06:48,9.456,"chrome",2022-12-22 00:06:57,2022-12-22,"studia"
"128",2022-12-22 00:06:46,1.054,"chrome",2022-12-22 00:06:47,2022-12-22,"studia"
"129",2022-12-22 00:06:45,0,"chrome",2022-12-22 00:06:45,2022-12-22,"studia"
"130",2022-12-22 00:06:38,6.318,"chrome",2022-12-22 00:06:44,2022-12-22,"studia"
"131",2022-12-22 00:06:35,1.052,"chrome",2022-12-22 00:06:36,2022-12-22,"studia"
"132",2022-12-22 00:06:33,1.064,"chrome",2022-12-22 00:06:34,2022-12-22,"studia"
"133",2022-12-22 00:05:26,66.33,"chrome",2022-12-22 00:06:32,2022-12-22,"studia"
"134",2022-12-22 00:04:48,36.898,"chrome",2022-12-22 00:05:24,2022-12-22,"studia"
"135",2022-12-22 00:04:06,40.486,"chrome",2022-12-22 00:04:46,2022-12-22,"studia"
"136",2022-12-22 00:04:01,4.253,"chrome",2022-12-22 00:04:05,2022-12-22,"studia"
"137",2022-12-22 00:03:38,22.51,"chrome",2022-12-22 00:04:00,2022-12-22,"studia"
"138",2022-12-22 00:03:29,7.301,"Messenger",2022-12-22 00:03:36,2022-12-22,"wolne"
"139",2022-12-22 00:01:44,103.889,"chrome",2022-12-22 00:03:27,2022-12-22,"studia"
"140",2022-12-22 00:01:43,0,"Spotify",2022-12-22 00:01:43,2022-12-22,"wolne"
"141",2022-12-22 00:01:25,16.961,"chrome",2022-12-22 00:01:41,2022-12-22,"studia"
"142",2022-12-22 00:01:23,1.308,"Discord",2022-12-22 00:01:24,2022-12-22,"inne"
"143",2022-12-22 00:01:22,0,"Spotify",2022-12-22 00:01:22,2022-12-22,"wolne"
"144",2022-12-22 00:01:15,5.345,"LeagueClientUx",2022-12-22 00:01:20,2022-12-22,"inne"
"145",2022-12-22 00:01:11,3.152,"Spotify",2022-12-22 00:01:14,2022-12-22,"wolne"
"146",2022-12-22 00:01:09,1.041,"LeagueClientUx",2022-12-22 00:01:10,2022-12-22,"inne"
"147",2022-12-22 00:01:03,4.534,"Teams",2022-12-22 00:01:07,2022-12-22,"studia"
"148",2022-12-22 00:01:02,0,"League of Legends",2022-12-22 00:01:02,2022-12-22,"inne"
"149",2022-12-22 00:01:01,0,"Teams",2022-12-22 00:01:01,2022-12-22,"studia"
"150",2022-12-22 00:00:59,1.052,"Discord",2022-12-22 00:01:00,2022-12-22,"inne"
"151",2022-12-22 00:00:58,0,"Teams",2022-12-22 00:00:58,2022-12-22,"studia"
"152",2022-12-22 00:00:57,0,"League of Legends",2022-12-22 00:00:57,2022-12-22,"inne"
"153",2022-12-22 00:00:44,11.568,"chrome",2022-12-22 00:00:55,2022-12-22,"studia"
"154",2022-12-22 00:00:42,1.061,"Discord",2022-12-22 00:00:43,2022-12-22,"inne"
"155",2022-12-22 00:00:41,0,"chrome",2022-12-22 00:00:41,2022-12-22,"studia"
"156",2022-12-22 00:00:40,0,"LeagueClientUx",2022-12-22 00:00:40,2022-12-22,"inne"
"157",2022-12-22 00:00:39,0,"chrome",2022-12-22 00:00:39,2022-12-22,"studia"
"158",2022-12-21 23:59:28,69.397,"League of Legends",2022-12-22 00:00:37,2022-12-21,"inne"
"159",2022-12-21 23:59:24,3.205,"chrome",2022-12-21 23:59:27,2022-12-21,"studia"
"160",2022-12-21 23:59:23,0,"LeagueClientUx",2022-12-21 23:59:23,2022-12-21,"inne"
"161",2022-12-21 23:59:20,2.118,"Teams",2022-12-21 23:59:22,2022-12-21,"studia"
"162",2022-12-21 23:59:18,1.047,"Teams",2022-12-21 23:59:19,2022-12-21,"studia"
"163",2022-12-21 23:58:01,75.23,"League of Legends",2022-12-21 23:59:16,2022-12-21,"inne"
"164",2022-12-21 23:57:58,2.146,"chrome",2022-12-21 23:58:00,2022-12-21,"studia"
"165",2022-12-21 23:56:26,90.879,"League of Legends",2022-12-21 23:57:56,2022-12-21,"inne"
"166",2022-12-21 23:56:25,0,"chrome",2022-12-21 23:56:25,2022-12-21,"studia"
"167",2022-12-21 23:56:21,2.544,"Teams",2022-12-21 23:56:23,2022-12-21,"studia"
"168",2022-12-21 23:56:16,4.281,"Teams",2022-12-21 23:56:20,2022-12-21,"studia"
"169",2022-12-21 23:53:50,144.542,"League of Legends",2022-12-21 23:56:14,2022-12-21,"inne"
"170",2022-12-21 23:53:46,3.194,"Teams",2022-12-21 23:53:49,2022-12-21,"studia"
"171",2022-12-21 23:53:45,0,"chrome",2022-12-21 23:53:45,2022-12-21,"studia"
